primaryName
Anne Dudley
The Angel
Eszter Balint
Aude Brenner
Siobhan Cleary
Lisa Coleman
Cherie Currie
Donna DeLory
Ani DiFranco
Lita Ford
Annette Fradera
Victoria Kelly
Catherine Lara
Cindy Valentine Leone
Wendy Melvoin
Bif Naked
Meshell Ndegeocello
Mary Margaret O'Hara
Zoë Poledouris
Rena Riffel
Janet Roddick
Maïdi Roth
Patrice Rushen
Marisa Sannia
Márta Sebestyén
Viju Shah
Béatrice Thiriet
Nancy Wilson
Jill Wisoff
Zazie
Betsy Lee
Laura Ann Thomas
Edyta Bartosiewicz
Myriam Boucris
Anohni
Bonnie Dobson
Sarah-Jane Morris
Cecily Fay
Zélia Duncan
Radha
Mary Kay Riley
Victi Silva
Anna Coll Miller
Bat for Lashes
Nina Sarri Vahlberg
Pow Chavez
Minna Choi
Yildiz Tilbe
Linda Freegard
Anna Roisman
Joanna Burns
Ingrid Lowenberg
Melissa Morris
Valkyrien Allstars
London Grammar
Jesica Yap
Lora Bidner
Kelsie Rose
Eleni Mandell
Wendy Irvine
Sabrina Petrini
Christina Scherrer
Yasemin Mori
La Jerrika Lenise
Justyna Kelley
Caroline Marin
Linda Perry
Nina Persson
Lou Rhodes
Fay Lovsky
Tamar-kali
Beth Moore
Nneka Egbuna
Lucrèce Sassella
Khia
Waimihi Hotere
Kyss Major
Saara Aalto
Charo Bogarin
Rachel Bearer
Sierra Noble
Emily Gardner Xu Hall
Sheila Atim
Cassidy Stirtz
Kali Uchis
Florencia Iriondo
Tara Trudel
Louise Mamfredos
Carly Kramer
Faryal Mehmood
Ingrid Helene Håvik
Fatoumata Diawara
Sabrina Setlur
Abby Travis
Liz Phair
Neus Soler
Blondie
Runa Laila
Shara Nova
Casey Lee Williams
Camila Cabello
Allie Goertz
Holly Laessig
Brittany Ellis
Miss Sandra Mhlongo
Damla Pehlevan
Çigdem Erken
P.J. Soles
Miriam Makeba
Kelly Lynn Gitter
Missy Elliott
Sarah Ellquist
Vanessa Hughes
Nikki Christie
Nola Klop
Sila
Elli Paspala
Migi Parahita
Miatta Fahnbulleh
Jen Sygit
Rachelle Lynn
Joi Marchetti
Valerie June
Kaitlin Baden
Raja Kumari
Daphne Willis
Sara Wilson
Erika Dapkewicz
Sola Liu
Nada Malanima
Rylie Dempster
Pam Sheyne
Bonnie Bogovich
Ayanna Gabriel
Erika Spring Forster
Dawn Richard
Gavin Turek
Stina Nordenstam
Getter Jaani
Claudia Campolongo
Nobara Hayakawa
Rina Sawayama
Catherine Capozzi
